,Total,non MM,MM or better
Total N,414,161,253
Sex (Male),147 (35.5%),42 (26.1%),105 (41.5%)
Age,"65 (51, 75)","65 (53, 76)","64 (50, 75)"
Onset age,"47 (33, 60)","47 (34, 60)","47 (31, 59)"
OMG,74 (17.9%),19 (11.8%),55 (21.7%)
EOMG,111 (26.8%),45 (28.0%),66 (26.1%)
LOMG,86 (20.8%),32 (19.9%),54 (21.3%)
TAMG,90 (21.7%),36 (22.4%),54 (21.3%)
MuSK,8 (1.9%),3 (1.9%),5 (2.0%)
SNMG,45 (10.9%),26 (16.1%),19 (7.5%)
MGC total score,"2 (0, 5)","6 (3, 9)","0 (0, 2)"
MGADL total score,"1 (0, 4)","4 (3, 6)","1 (0, 1)"
MGQOL15 total score,"8 (3, 19)","21 (11, 29)","4 (1, 9)"
PSL dose,"2 (0, 5)","5 (0, 6)","2 (0, 5)"
